@id,dc:source,dct:description,op:featureOfInterest,op:objectOfInterest,qudt:generalization,qudt:generalizationOfSystem,qudt:specialization,qudt:unit,rdf:type,rdfs:comment,rdfs:label,rdfs:seeAlso,skos:altLabel,skos:broader,skos:broaderTransitive,skos:changeNote,skos:definition,skos:historyNote,skos:member,skos:narrower,skos:notation,skos:prefLabel,skos:related
<http://registry.it.csiro.au/def/environment/property/absorption_by_particles>,eReefs,'absorption by particles'@en,"",<http://registry.it.csiro.au/def/environment/object/solids>,<http://registry.it.csiro.au/def/environment/quantity-kind/Absorption>,"","",<http://http://registry.it.csiro.au/def/environment/unit/Reciprocal_Meter>,op:ScaledQuantityKind|skos:Concept|qudt:OpticsQuantityKind,"",absorption by particles,"","",<http://registry.it.csiro.au/def/environment/quantity-kind/Absorption>,"","","","","","","",'absorption by particles'@en,<http://registry.it.csiro.au/def/environment/property/solids-dissolved_organic>
<http://registry.it.csiro.au/def/environment/property/absorption_by_phytoplankton>,eReefs,'absorption by phytoplankton'@en,"",<http://registry.it.csiro.au/def/environment/object/phytoplankton>,<http://registry.it.csiro.au/def/environment/quantity-kind/Absorption>,"","",<http://http://registry.it.csiro.au/def/environment/unit/Reciprocal_Meter>,skos:Concept|qudt:OpticsQuantityKind|op:ScaledQuantityKind,"",absorption by phytoplankton,"","",<http://registry.it.csiro.au/def/environment/quantity-kind/Absorption>,"","","","","","","",'absorption by phytoplankton'@en,<http://registry.it.csiro.au/def/environment/property/solids-dissolved_organic>
<http://registry.it.csiro.au/def/environment/property/absorption_total>,eReefs,'total absorption'@en,"","",<http://registry.it.csiro.au/def/environment/quantity-kind/Absorption>,"","",<http://http://registry.it.csiro.au/def/environment/unit/Reciprocal_Meter>,op:ScaledQuantityKind|skos:Concept|qudt:OpticsQuantityKind,"",total absorption,"","",<http://registry.it.csiro.au/def/environment/quantity-kind/Absorption>,"","","","","","","",'total absorption'@en,""
<http://registry.it.csiro.au/def/environment/property/acenaphthylene_concentration>,eReefs,'Acenaphthylene is a polycyclic aromatic hydrocarbon. The molecule resembles naphthalene with positions 1 and 8 connected by a C2H2 unit.'^^xsd:string,"",<http://registry.it.csiro.au/def/environment/object/acenaphthylene>,<http://registry.it.csiro.au/def/environment/property/polycyclic_aromatic_hydrocarbon_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>|<http://http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre>,skos:Concept|op:ScaledQuantityKind|qudt:ChemistryQuantityKind,"",acenaphthylene concentration,"","",<http://registry.it.csiro.au/def/environment/property/polycyclic_aromatic_hydrocarbon_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","",'Acenaphthylene is a polycyclic aromatic hydrocarbon. The molecule resembles naphthalene with positions 1 and 8 connected by a C2H2 unit.'^^xsd:string,"","","","",'acenaphthylene concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/actinide_concentration>,eReefs,"'The actinide or actinoid (IUPAC nomenclature) series encompasses the 15 metallic chemical elements with atomic numbers from 89 to 103, actinium through lawrencium.'^^xsd:string","",<http://registry.it.csiro.au/def/environment/object/actinide>,<http://registry.it.csiro.au/def/environment/property/metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"",<http://registry.it.csiro.au/def/environment/property/thorium_concentration>|<http://registry.it.csiro.au/def/environment/property/uranium_concentration>,"",op:ScaledQuantityKind|skos:Concept|qudt:ChemistryQuantityKind,"",actinide concentration,"","",<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/metal_concentration>,"","","'The actinide or actinoid (IUPAC nomenclature) series encompasses the 15 metallic chemical elements with atomic numbers from 89 to 103, actinium through lawrencium.'^^xsd:string","","",<http://registry.it.csiro.au/def/environment/property/thorium_concentration>|<http://registry.it.csiro.au/def/environment/property/uranium_concentration>,"",'actinide concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/active_sediment_layer_thickness>,eReefs,'active sediment layer thickness'@en,"",<http://sweet.jpl.nasa.gov/2.2/matrSediment.owl#Sediment>|<http://vocab.nerc.ac.uk/collection/EVO/current/00002007/>|<http://registry.it.csiro.au/def/environment/object/sediment>,<http://qudt.org/vocab/quantity#Length>,"","",<http://qudt.org/vocab/unit#Meter>,qudt:SpaceAndTimeQuantityKind|skos:Concept|op:ScaledQuantityKind,"",active sediment layer thickness,"","",<http://qudt.org/vocab/quantity#Length>,"","","",'Created 5/9/13'^^xsd:string,"","","",'active sediment layer thickness'@en,""
<http://registry.it.csiro.au/def/environment/property/air_pressure>,eReefs,'air pressure'@en,"",<http://sweet.jpl.nasa.gov/2.2/realmAtmo.owl#AtmosphereLayer>,<http://qudt.org/vocab/quantity#AtmosphericPressure>,"","",<http://qudt.org/vocab/unit#Pascal>,op:ScaledQuantityKind|qudt:FluidMechanicsQuantityKind|skos:Concept,"",air pressure,"","",<http://qudt.org/vocab/quantity#AtmosphericPressure>,"","","","","","","",'air pressure'@en,""
<http://registry.it.csiro.au/def/environment/property/air_temperature>,eReefs,'air temperature'@en,<http://sweet.jpl.nasa.gov/2.2/realmAtmo.owl#AtmosphereLayer>,<http://sweet.jpl.nasa.gov/2.2/realmAtmo.owl#AtmosphereLayer>,<http://qudt.org/vocab/quantity#ThermodynamicTemperature>,"","",<http://qudt.org/vocab/unit#DegreeCelsius>,skos:Concept|op:ScaledQuantityKind|qudt:ThermodynamicsQuantityKind,"",air temperature,"","",<http://qudt.org/vocab/quantity#ThermodynamicTemperature>,"","","","","","","",'air temperature'@en,""
<http://registry.it.csiro.au/def/environment/property/aldrin_concentration>,eReefs,'aldrin concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/aldrin>,<http://registry.it.csiro.au/def/environment/property/pesticide_organochlorine_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre>,qudt:ChemistryQuantityKind|op:ScaledQuantityKind|skos:Concept,"",aldrin concentration,"","'(1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene concentration'^^xsd:string",<http://registry.it.csiro.au/def/environment/property/pesticide_organochlorine_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'aldrin concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/alkali_metal_concentration>,eReefs,"'alkali metals have their outermost electron in an s-orbital and consist of the chemical elements lithium (Li), sodium (Na), potassium (K), rubidium (Rb), caesium (Cs), and francium (Fr).'^^xsd:string","",<http://registry.it.csiro.au/def/environment/object/alkali_metal>,<http://registry.it.csiro.au/def/environment/property/metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"",<http://registry.it.csiro.au/def/environment/property/rubidium_concentration>|<http://registry.it.csiro.au/def/environment/property/lithium_concentration>|<http://registry.it.csiro.au/def/environment/property/caesium_concentration>|<http://registry.it.csiro.au/def/environment/property/potassium_concentration>|<http://registry.it.csiro.au/def/environment/property/sodium_concentration>,"",qudt:ChemistryQuantityKind|op:ScaledQuantityKind|skos:Concept,"",alkali metal concentration,"","",<http://registry.it.csiro.au/def/environment/property/metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","'alkali metals have their outermost electron in an s-orbital and consist of the chemical elements lithium (Li), sodium (Na), potassium (K), rubidium (Rb), caesium (Cs), and francium (Fr).'^^xsd:string","","",<http://registry.it.csiro.au/def/environment/property/caesium_concentration>|<http://registry.it.csiro.au/def/environment/property/potassium_concentration>|<http://registry.it.csiro.au/def/environment/property/rubidium_concentration>|<http://registry.it.csiro.au/def/environment/property/sodium_concentration>|<http://registry.it.csiro.au/def/environment/property/lithium_concentration>,"",'alkali metal concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/alkaline_earth_metal_concentration>,eReefs,"'A group of chemical elements in the periodic table with very similar properties: they are all shiny, silvery-white, somewhat reactive metals at standard temperature and pressure and readily lose their two outermost electrons to form cations with charge +2. In the modern IUPAC nomenclature, the alkaline earth metals comprise the group 2 elements.
The alkaline earth metals are beryllium (Be), magnesium (Mg), calcium (Ca), strontium (Sr), barium (Ba), and radium (Ra). This group lies in the s-block of the periodic table as all alkaline earth metals have their outermost electron in an s-orbital.'^^xsd:string","",<http://registry.it.csiro.au/def/environment/object/alkaline_earth_metal>,<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/metal_concentration>,"",<http://registry.it.csiro.au/def/environment/property/calcium_concentration>|<http://registry.it.csiro.au/def/environment/property/beryllium_concentration>|<http://registry.it.csiro.au/def/environment/property/barium_concentration>|<http://registry.it.csiro.au/def/environment/property/magnesium_concentration>|<http://registry.it.csiro.au/def/environment/property/strontium_concentration>,"",skos:Concept|qudt:ChemistryQuantityKind|op:ScaledQuantityKind,"",alkaline earth metal concentration,"","",<http://registry.it.csiro.au/def/environment/property/metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","'A group of chemical elements in the periodic table with very similar properties: they are all shiny, silvery-white, somewhat reactive metals at standard temperature and pressure and readily lose their two outermost electrons to form cations with charge +2. In the modern IUPAC nomenclature, the alkaline earth metals comprise the group 2 elements.
The alkaline earth metals are beryllium (Be), magnesium (Mg), calcium (Ca), strontium (Sr), barium (Ba), and radium (Ra). This group lies in the s-block of the periodic table as all alkaline earth metals have their outermost electron in an s-orbital.'^^xsd:string","","",<http://registry.it.csiro.au/def/environment/property/magnesium_concentration>|<http://registry.it.csiro.au/def/environment/property/barium_concentration>|<http://registry.it.csiro.au/def/environment/property/beryllium_concentration>|<http://registry.it.csiro.au/def/environment/property/calcium_concentration>|<http://registry.it.csiro.au/def/environment/property/strontium_concentration>,"",'alkaline earth metal concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/alkalinity-bicarbonate_as_CaCO3>,eReefs,'alkalinity ascribed to bicarbonate in milligrams/litre HCO3'^^xsd:string,"",<http://sweet.jpl.nasa.gov/2.2/matrWater.owl#LiquidWater>,<http://registry.it.csiro.au/def/environment/quantity-kind/Alkalinity>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>,qudt:ChemistryQuantityKind|skos:Concept|op:ScaledQuantityKind,"",bicarbonate alkalinity as CaCO3,"","",<http://registry.it.csiro.au/def/environment/quantity-kind/Alkalinity>,"","",'alkalinity ascribed to bicarbonate in milligrams/litre HCO3'^^xsd:string,"","","","",'bicarbonate alkalinity as CaCO3'@en,<http://registry.it.csiro.au/def/environment/property/bicarbonate_concentration>|<http://registry.it.csiro.au/def/environment/property/carbonate_concentration>
<http://registry.it.csiro.au/def/environment/property/alkalinity-carbonate_as_CaCO3>,eReefs,'alkalinity ascribed to bicarbonate in milligrams/litre CO3'^^xsd:string,"",<http://sweet.jpl.nasa.gov/2.2/matrWater.owl#LiquidWater>,<http://registry.it.csiro.au/def/environment/quantity-kind/Alkalinity>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>|<http://http://registry.it.csiro.au/def/environment/unit/MolPercent>,op:ScaledQuantityKind|skos:Concept|qudt:ChemistryQuantityKind,"",carbonate alkalinity as CaCO3,"","",<http://registry.it.csiro.au/def/environment/quantity-kind/Alkalinity>,"","",'alkalinity ascribed to bicarbonate in milligrams/litre CO3'^^xsd:string,"","","","",'carbonate alkalinity as CaCO3'@en,<http://registry.it.csiro.au/def/environment/property/carbonate_concentration>
<http://registry.it.csiro.au/def/environment/property/alkalinity-hydroxide_as_CaCO3>,eReefs,'hydroxide alkalinity as CaCO3'@en,"",<http://sweet.jpl.nasa.gov/2.2/matrWater.owl#LiquidWater>,<http://registry.it.csiro.au/def/environment/quantity-kind/Alkalinity>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>,skos:Concept|op:ScaledQuantityKind|qudt:ChemistryQuantityKind,"",hydroxide alkalinity as CaCO3,"","",<http://registry.it.csiro.au/def/environment/quantity-kind/Alkalinity>,"","","","","","","",'hydroxide alkalinity as CaCO3'@en,""
<http://registry.it.csiro.au/def/environment/property/alkalinity-residual_hazard>,eReefs,'residual alkalinity hazard'@en,"",<http://sweet.jpl.nasa.gov/2.2/matrWater.owl#LiquidWater>,<http://registry.it.csiro.au/def/environment/quantity-kind/Alkalinity>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilliEquivalentPerLitre>,qudt:ChemistryQuantityKind|op:ScaledQuantityKind|skos:Concept,"",residual alkalinity hazard,"","",<http://registry.it.csiro.au/def/environment/quantity-kind/Alkalinity>,"","","","","","","",'residual alkalinity hazard'@en,<http://registry.it.csiro.au/def/environment/property/pH_water>
<http://registry.it.csiro.au/def/environment/property/alkalinity_total_CaCO3>,eReefs,'concentration in milligrams/litre CaCO3 of titratable bases using a methyl-orange endpoint of about pH 4.3'^^xsd:string,<http://sweet.jpl.nasa.gov/2.2/matrWater.owl#LiquidWater>,"",<http://registry.it.csiro.au/def/environment/quantity-kind/Alkalinity>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>,op:ScaledQuantityKind|skos:Concept|qudt:ChemistryQuantityKind,"",total alkalinity as CaCO3,"","",<http://registry.it.csiro.au/def/environment/quantity-kind/Alkalinity>,"","",'concentration in milligrams/litre CaCO3 of titratable bases using a methyl-orange endpoint of about pH 4.3'^^xsd:string,"","","","",'total alkalinity as CaCO3'@en,<http://registry.it.csiro.au/def/environment/property/pH_water>
<http://registry.it.csiro.au/def/environment/property/alpha-endosulfan_concentration>,eReefs,'alpha-endosulfan concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/alpha-endosulfan>,<http://registry.it.csiro.au/def/environment/property/endosulfan_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre>,op:ScaledQuantityKind|qudt:ChemistryQuantityKind|skos:Concept,"",alpha-endosulfan concentration,"","'endosulfan I concentration'^^xsd:string|'6,7,8,9,10,10-Hexachloro-1,5,5a,6,9,9a-hexahydro- 6,9-methano-2,4,3-benzodioxathiepine-3-oxide concentration'^^xsd:string",<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/endosulfan_concentration>,"","","","","","","",'alpha-endosulfan concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/alpha-hexachlorocyclohexane_concentration>,eReefs,'alpha-hexachlorocyclohexane concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/alpha-hexachlorocyclohexane>,<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/pesticide_organochlorine_concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre>,qudt:ChemistryQuantityKind|op:ScaledQuantityKind|skos:Concept,"",alpha-hexachlorocyclohexane concentration,"","'α-1,2,3,4,5,6-hexachlorocyclohexane concentration'^^xsd:string|'alpha-BHC concentration'^^xsd:string",<http://registry.it.csiro.au/def/environment/property/pesticide_organochlorine_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'alpha-hexachlorocyclohexane concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/aluminium_concentration>,eReefs,'aluminium concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/aluminium>,<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/post-transition_metal_concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>|<http://http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre>,qudt:ChemistryQuantityKind|op:ScaledQuantityKind|skos:Concept,"",aluminium concentration,"","",<http://registry.it.csiro.au/def/environment/property/post-transition_metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'aluminium concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/ammonia_ammonium_as_NH4_concentration>,eReefs,'ammonia and ammonium as NH4 concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/ammonium>,<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/ammonia_ammonium_concentration>,"","","",op:ScaledQuantityKind|skos:Concept|qudt:ChemistryQuantityKind,"",ammonia and ammonium as NH4 concentration,"","",<http://registry.it.csiro.au/def/environment/property/ammonia_ammonium_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'ammonia and ammonium as NH4 concentration'@en,<http://registry.it.csiro.au/def/environment/object/ammonia>
<http://registry.it.csiro.au/def/environment/property/ammonia_ammonium_as_N_concentration>,eReefs,'ammonia and ammonium as N concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/nitrogen>,<http://registry.it.csiro.au/def/environment/property/nutrient_concentration>|<http://registry.it.csiro.au/def/environment/property/non-metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","",skos:Concept|qudt:ChemistryQuantityKind|op:ScaledQuantityKind,"",ammonia and ammonium as N concentration,"","",<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/nutrient_concentration>|<http://registry.it.csiro.au/def/environment/property/non-metal_concentration>,"","","","","","","",'ammonia and ammonium as N concentration'@en,<http://registry.it.csiro.au/def/environment/object/ammonium>|<http://registry.it.csiro.au/def/environment/object/ammonia>
<http://registry.it.csiro.au/def/environment/property/ammonia_ammonium_concentration>,eReefs,'ammonia and ammonium concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/ammonia_ammonium>,<http://registry.it.csiro.au/def/environment/property/chemical_entity_concentration>|<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/chemical_compound_concentration>|<http://registry.it.csiro.au/def/environment/property/nutrient_concentration>,"",<http://registry.it.csiro.au/def/environment/property/ammonium_concentration>|<http://registry.it.csiro.au/def/environment/property/ammonia_ammonium_as_NH4_concentration>|<http://registry.it.csiro.au/def/environment/property/ammonia_concentration>,"",op:ScaledQuantityKind|skos:Concept|qudt:ChemistryQuantityKind,"",ammonia and ammonium concentration,"","",<http://registry.it.csiro.au/def/environment/property/chemical_compound_concentration>|<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/nutrient_concentration>|<http://registry.it.csiro.au/def/environment/property/chemical_entity_concentration>,"","","","","",<http://registry.it.csiro.au/def/environment/property/ammonium_concentration>|<http://registry.it.csiro.au/def/environment/property/ammonia_ammonium_as_NH4_concentration>|<http://registry.it.csiro.au/def/environment/property/ammonia_concentration>,"",'ammonia and ammonium concentration'@en,""
<http://registry.it.csiro.au/def/environment/property/ammonia_as_N_concentration>,eReefs,'ammonia as N concentration'@en,"",<http://registry.it.csiro.au/def/environment/object/nitrogen>,<http://registry.it.csiro.au/def/environment/property/nutrient_concentration>|<http://qudt.org/vocab/quantity#Concentration>|<http://registry.it.csiro.au/def/environment/property/non-metal_concentration>,"","",<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre>|<http://http://registry.it.csiro.au/def/environment/unit/MilligramsPerCubicMeter>,skos:Concept|op:ScaledQuantityKind|qudt:ChemistryQuantityKind,"",ammonia as N concentration,"","",<http://registry.it.csiro.au/def/environment/property/nutrient_concentration>|<http://registry.it.csiro.au/def/environment/property/non-metal_concentration>|<http://qudt.org/vocab/quantity#Concentration>,"","","","","","","",'ammonia as N concentration'@en,""
